,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf,,
7921,White,2,36,3,NG,0.71,0.735714286,1,,
7922,White,1,35,3.8,NG,1.79,0.799404762,1,,
7923,White,1,31.5,3.3,SE,-0.43,0.708035714,1,,
7924,White,1,31,3.1,NE,-0.08,0.682738095,1,,
7926,White,2,29,3.1,NG,-0.01,0.657738095,1,,
7927,White,1,36.5,3.1,NG,1.33,0.751488095,1,,
7928,White,2,36.5,2.7,NG,-1.61,0.713392857,1,,
7929,White,2,43,2.6,NG,0.6,0.785119048,1,,
7930,White,2,32.5,2.5,NG,-0.47,0.644345238,1,,
7932,Other,2,31.5,2.8,NE,1.09,0.660416667,1,,
7933,White,2,29.3,3,NE,-0.69,0.651964286,1,,
7935,White,2,38,2.9,NG,-0.01,0.751190476,1,,
7936,White,2,33,3.5,NG,1.02,0.745833333,1,,
7937,White,1,30,3.1,NG,-1.7,0.670238095,1,,
7938,White,2,40,2.8,NG,0.5,0.766666667,1,,
7939,White,2,34,2.6,SE,-0.4,0.672619048,1,,
7940,White,1,27,3,NG,-0.21,0.623214286,1,,
7942,White,2,33,3,NE,0.21,0.698214286,1,,
7943,White,2,37,2.8,NE,0.34,0.729166667,1,,
7944,White,1,31,2.6,NG,0.03,0.635119048,1,,
7946,White,1,33,2.7,NG,0.3,0.669642857,1,,
7947,White,1,34,2.9,SE,-1.13,0.701190476,1,,
7948,White,2,40,2.8,NG,0.45,0.766666667,1,,
7949,White,2,30.5,3.1,NG,-0.69,0.676488095,1,,
7951,White,2,30,2.9,NE,-0.34,0.651190476,1,,
7952,White,1,32.5,3.1,NE,0.78,0.701488095,1,,
7953,White,1,34,3.1,NG,0.19,0.720238095,1,,
7956,White,2,37,2.3,NG,1.04,0.681547619,1,,
7957,White,2,33,2.8,NG,0.67,0.679166667,1,,
7959,White,2,35.3,2.6,NE,0.47,0.688869048,1,,
7960,White,1,36,3.3,NG,0.6,0.764285714,1,,
7961,White,2,28.5,3.4,NG,-0.12,0.680059524,1,,
7963,White,2,30.5,3.3,NE,0.01,0.695535714,1,,
7965,White,1,31,3.7,NG,1.18,0.739880952,1,,
7966,White,1,32,3,NG,0.56,0.685714286,1,,
7967,White,2,30,3,NG,-1.04,0.660714286,1,,
7969,White,2,38,2.5,NG,1.7,0.713095238,1,,
7970,White,1,31,2.6,NG,0.52,0.635119048,1,,
7972,White,2,35.5,2.7,NG,0.54,0.700892857,1,,
7974,Hispanic,1,28,3.1,NG,0.82,0.645238095,1,,
7975,White,1,40,2.5,Mt,-0.25,0.738095238,1,,
7977,White,2,31,3.2,NE,-0.12,0.692261905,1,,
7978,White,2,35,3,NG,-0.65,0.723214286,1,,
7979,White,1,30.5,3,NE,0.03,0.666964286,1,,
7981,White,1,34,3,NG,1.48,0.710714286,1,,
7982,White,2,33,3.1,NG,-0.98,0.707738095,1,,
7983,White,1,33.5,3.5,NG,0.19,0.752083333,1,,
7985,White,1,33,3.2,NE,-0.56,0.717261905,1,,
7987,White,2,36,2.4,NG,-1.57,0.678571429,1,,
7988,White,1,39,3.4,NG,0.69,0.811309524,1,,
7989,White,1,35,3.3,GL,-0.32,0.751785714,1,,
7990,White,2,39,2.6,MS,-0.6,0.735119048,0,,
7992,White,2,34.5,3,GL,0.21,0.716964286,1,,
7993,White,2,35,2.7,GL,0.05,0.694642857,1,,
7995,White,1,28,3.6,GL,0.14,0.692857143,1,,
7996,White,1,30,3.5,GL,-0.3,0.708333333,1,,
7997,White,2,34,3.3,GL,0.85,0.739285714,1,,
7999,White,1,33,2.9,NE,-0.03,0.688690476,1,,
8000,White,1,33,3.3,NE,-0.14,0.726785714,1,,
8001,White,1,30,3.5,GL,0.34,0.708333333,1,,
8002,White,2,36,2.9,NE,0.28,0.726190476,1,,
8003,White,1,33,2.9,FW,0.95,0.688690476,0,,
8005,White,1,35,3.3,GL,1.38,0.751785714,1,,
8006,White,1,38.5,2.5,GL,0.78,0.719345238,1,,
8007,Asian,1,30,2.5,GL,-0.24,0.613095238,1,,
8008,White,2,38,2.8,NG,0.77,0.741666667,1,,
8010,White,1,34,3.2,GL,0.14,0.729761905,1,,
8011,White,1,34,3.1,GL,-0.5,0.720238095,1,,
8012,White,2,34,3,GL,0.32,0.710714286,1,,
8013,Asian,2,32,2.5,NE,0.93,0.638095238,1,,
8015,White,1,34,3.6,GL,1.34,0.767857143,1,,
8017,White,2,39,3.2,GL,-0.01,0.792261905,1,,
8018,White,2,39,3.4,GL,-0.3,0.811309524,1,,
8019,White,2,35,3.7,GL,0.75,0.789880952,1,,
8021,White,2,37,3.3,GL,-0.37,0.776785714,0,,
8022,White,2,33,3.5,GL,-0.88,0.745833333,1,,
8023,White,2,32,2.9,NG,-0.47,0.676190476,1,,
8025,White,2,34,3.3,GL,0.26,0.739285714,1,,
8027,White,2,34,3.1,SE,-0.73,0.720238095,1,,
8028,White,2,36,3.3,GL,0.32,0.764285714,1,,
8029,White,2,31,3.7,GL,1.66,0.739880952,1,,
8030,White,2,32,3.3,NE,1.32,0.714285714,1,,
8031,White,2,35.5,3.2,GL,0.4,0.748511905,1,,
8032,Black,1,31,2.7,GL,-0.36,0.644642857,1,,
8034,White,2,35,2.8,GL,0.63,0.704166667,1,,
8035,White,2,33,2.6,NE,0.03,0.660119048,1,,
8036,White,2,37,2.9,GL,0.27,0.738690476,1,,
8037,White,1,36,3.5,GL,0.21,0.783333333,1,,
8038,Asian,2,23,3.4,GL,-0.82,0.611309524,0,,
8040,White,1,29,3,GL,-0.35,0.648214286,1,,
8041,White,2,40,2.8,GL,1.09,0.766666667,1,,
8042,White,2,32,2.9,GL,-0.75,0.676190476,0,,
8046,White,2,34,2.9,GL,0.2,0.701190476,1,,
8047,White,1,47,3.9,GL,1.9,0.958928571,1,,
8048,Black,1,28,2.7,GL,-0.5,0.607142857,1,,
8049,White,1,40,3,GL,2.12,0.785714286,1,,
8050,White,1,37,3.3,GL,-0.02,0.776785714,1,,
8051,White,2,38,2.9,NE,0.07,0.751190476,1,,
8052,White,1,37,2.9,GL,0.71,0.738690476,1,,
8053,White,2,30,3.3,GL,1.33,0.689285714,1,,
8054,Asian,2,35,2.9,NE,0.08,0.713690476,1,,
8057,White,1,35,3.4,GL,0.79,0.761309524,1,,
8058,Other,2,33.5,3.3,GL,-0.29,0.733035714,1,,
8060,White,1,33.5,3.6,GL,0.72,0.761607143,1,,
8061,White,2,34,3.1,GL,-0.07,0.720238095,1,,
8062,White,2,37,3.5,GL,0.23,0.795833333,1,,
8063,Other,2,24,3.3,SE,-0.03,0.614285714,1,,
8064,White,2,38,2.6,GL,0.14,0.722619048,1,,
8065,White,2,44,2.9,GL,1.21,0.826190476,1,,
8066,Other,2,35,3.2,NE,1.44,0.742261905,1,,
8067,White,2,37,2.9,GL,1.19,0.738690476,1,,
8069,White,2,30,3.4,GL,0.14,0.698809524,1,,
8070,White,2,37,3,GL,0.66,0.748214286,1,,
8071,White,2,37,3.4,GL,-0.22,0.786309524,1,,
8073,White,1,36,3.7,GL,-0.8,0.802380952,1,,
8074,White,2,36,3.4,GL,-0.16,0.773809524,1,,
8076,White,1,32,3.2,GL,-0.41,0.704761905,1,,
8079,White,2,36,2.8,GL,-0.44,0.716666667,1,,
8080,White,2,34,3.2,NE,0.18,0.729761905,1,,
8081,White,1,32,3,GL,-0.08,0.685714286,1,,
8082,White,1,26,3.4,GL,0.08,0.648809524,1,,
8083,White,2,33,3.4,GL,-0.12,0.736309524,1,,
8084,White,1,39,2.7,GL,0.72,0.744642857,1,,
8086,White,2,39,2.5,GL,-0.31,0.725595238,1,,
8087,Hispanic,2,34,3.6,GL,1.05,0.767857143,1,,
8088,White,2,37,3.1,GL,0.63,0.757738095,1,,
8089,White,1,32,3,GL,0.2,0.685714286,1,,
8093,White,2,31,3,NE,1.17,0.673214286,1,,
8094,White,2,39,2.1,GL,1.61,0.6875,1,,
8096,White,2,40,2.9,GL,0.76,0.776190476,1,,
8099,White,1,42,2.8,GL,1.21,0.791666667,1,,
8101,White,2,37,3.4,GL,1.23,0.786309524,1,,
8102,White,2,43,2.6,GL,-0.02,0.785119048,1,,
8104,White,1,29.5,3.8,GL,-0.84,0.730654762,1,,
8105,White,1,33,3.8,GL,0.5,0.774404762,1,,
8106,Asian,2,30,2.7,GL,-0.56,0.632142857,1,,
8108,White,2,29,3.3,GL,0.8,0.676785714,1,,
8110,White,2,25.5,3.1,SE,-0.92,0.613988095,1,,
8111,White,2,34,3.1,MS,-0.66,0.720238095,1,,
8112,White,2,32,3.8,GL,1.62,0.761904762,1,,
8113,Asian,1,26,2.9,GL,-0.74,0.601190476,1,,
8114,White,1,31,3.2,GL,-0.34,0.692261905,1,,
8115,White,2,35,3.3,GL,1.34,0.751785714,1,,
8117,White,2,36,2.9,GL,-0.59,0.726190476,1,,
8118,Hispanic,1,39,3.4,GL,0.04,0.811309524,1,,
8119,White,2,32,2.8,GL,-0.21,0.666666667,1,,
8120,White,2,42,3.7,GL,2.4,0.877380952,1,,
8121,White,2,32,3.6,GL,0.5,0.742857143,1,,
8122,White,2,37,3.5,GL,1.88,0.795833333,1,,
8124,White,1,34,3,GL,-0.12,0.710714286,0,,
8126,White,1,34,3.5,GL,0.33,0.758333333,1,,
8129,Black,1,29,2.7,NE,-0.66,0.619642857,1,,
8130,White,2,37,2.9,GL,0.82,0.738690476,1,,
8131,White,2,40,2.8,NE,1.77,0.766666667,1,,
8132,White,2,38,3.3,GL,-0.37,0.789285714,1,,
8134,White,2,32,3,NG,-0.38,0.685714286,1,,
8135,White,1,38,3.7,GL,1.49,0.827380952,1,,
8136,White,2,34,3.4,GL,0.39,0.748809524,1,,
8137,White,2,38,2.5,GL,-0.44,0.713095238,1,,
8138,White,2,39,2.9,GL,0.99,0.763690476,1,,
8139,White,2,37,2.7,NE,0.32,0.719642857,1,,
8141,Black,1,21,2.6,GL,-0.85,0.510119048,1,,
8143,White,1,29.5,2.9,GL,-0.35,0.644940476,1,,
8144,White,2,36,3.6,GL,0.44,0.792857143,1,,
8145,White,1,39,3.6,GL,-0.8,0.830357143,1,,
8147,White,2,32,3,GL,-0.34,0.685714286,1,,
8148,White,2,38,2.9,GL,-1.03,0.751190476,0,,
8149,White,2,40,2.8,GL,0.04,0.766666667,1,,
8152,White,1,33.5,3,NE,-0.37,0.704464286,1,,
8153,White,2,32,3.4,SE,1.64,0.723809524,1,,
8154,White,1,33,3.5,GL,0.29,0.745833333,1,,
8156,White,1,33,3,GL,-0.9,0.698214286,1,,
8157,White,1,32,3.3,GL,-0.41,0.714285714,1,,
8159,White,1,36,3.4,GL,1.26,0.773809524,1,,
8160,White,2,38,2.5,GL,-0.22,0.713095238,1,,
8161,White,2,35,3.3,NE,0.53,0.751785714,1,,
8162,White,2,39,2.9,GL,-0.56,0.763690476,1,,
8163,White,1,25,3,GL,0.77,0.598214286,1,,
8165,White,1,42,3.9,GL,2.15,0.896428571,1,,
8169,White,1,33,4,MW,-0.01,0.793452381,1,,
8170,White,2,34,3.1,MW,0.69,0.720238095,1,,
8172,White,1,34,3.2,MW,-0.35,0.729761905,1,,
8173,White,1,34,3.4,MW,2.05,0.748809524,1,,
8174,White,1,32,3.9,SC,1.54,0.771428571,1,,
8175,White,1,33,3.6,MW,1.1,0.755357143,1,,
8176,White,1,35,3.2,MW,0.04,0.742261905,1,,
8177,White,2,39,3,MW,1.35,0.773214286,1,,
8179,White,1,40,3.8,MW,1.78,0.861904762,1,,
8180,White,1,38,3,MW,0.1,0.760714286,1,,
8181,White,1,32,3.5,SE,-0.58,0.733333333,1,,
8183,White,2,38,3.8,MW,-0.81,0.836904762,1,,
8184,White,1,30.5,3.4,MW,-0.66,0.705059524,1,,
8185,White,1,30.7,3.6,MW,-0.46,0.726607143,1,,
8187,White,2,40,3.4,MW,0.55,0.823809524,1,,
8188,White,1,40,3.9,MW,0.75,0.871428571,1,,
8190,White,1,41,2.9,MW,-0.91,0.788690476,1,,
8191,White,1,36,3.1,MW,1.27,0.745238095,1,,
8192,White,2,38,3,MW,-0.38,0.760714286,1,,
8194,White,2,43,3.4,MW,1.31,0.861309524,1,,
8195,White,1,41,3.4,MW,-0.28,0.836309524,1,,
8197,White,2,38,3.1,MW,1.31,0.770238095,1,,
8199,White,2,33,3.3,MW,-1.38,0.726785714,1,,
8200,White,1,34,3.8,MW,0.8,0.786904762,1,,
8201,White,1,33,3.4,MW,-0.46,0.736309524,1,,
8202,White,1,34,3.6,MW,1.02,0.767857143,1,,
8204,White,1,39,3.5,MW,-0.62,0.820833333,1,,
8205,White,2,39,2.7,MW,0.06,0.744642857,1,,
8206,White,2,44,2.9,MW,1.31,0.826190476,1,,
8207,White,1,32,3.7,MW,0.38,0.752380952,1,,
8208,White,1,33,3.6,MW,0.24,0.755357143,1,,
8209,White,1,34,3.6,MW,0,0.767857143,1,,
8211,White,2,34,3.5,MW,0.94,0.758333333,1,,
8213,Black,1,30.3,3.3,MW,0.06,0.693035714,1,,
8214,White,2,36,3.2,MW,-0.38,0.754761905,1,,
8215,White,2,30,3.3,MW,-0.31,0.689285714,1,,
8216,White,2,33,3.4,MW,-0.03,0.736309524,1,,
8218,White,2,33,3.5,MW,1.41,0.745833333,1,,
8219,White,2,32,3.4,MW,0.22,0.723809524,1,,
8220,White,2,33,3.2,MW,-0.15,0.717261905,1,,
8221,White,1,37,3.6,MW,0.32,0.805357143,1,,
8222,White,2,33,3.6,MW,-0.81,0.755357143,1,,
8223,White,2,35,3.4,MW,0.3,0.761309524,1,,
8225,White,2,38,2.8,MW,-0.4,0.741666667,0,,
8226,White,2,34,3.2,MW,0.77,0.729761905,1,,
8227,White,1,36,4,MW,1.88,0.830952381,1,,
8229,White,2,37,3.5,MW,0.84,0.795833333,1,,
8230,White,2,39,3.8,MW,0.59,0.849404762,1,,
8231,White,2,37,3.1,MW,-0.4,0.757738095,1,,
8232,White,2,32,3.4,MW,0.08,0.723809524,1,,
8233,White,2,36,3.1,MW,-0.87,0.745238095,1,,
8235,White,2,35,3.2,MW,-1.46,0.742261905,1,,
8236,White,1,33.5,3.3,MW,-1.5,0.733035714,0,,
8237,White,2,35,3.3,Mt,-1.13,0.751785714,0,,
8238,Asian,2,37,2.9,MW,0.06,0.738690476,1,,
8239,White,1,38,3.6,MW,0.86,0.817857143,1,,
8240,White,2,37,3.4,MW,0.06,0.786309524,1,,
8241,White,2,35,2.4,MW,0.51,0.666071429,1,,
8243,White,2,40,2.7,MW,-0.33,0.757142857,1,,
8244,White,2,37,4,MW,1.15,0.843452381,1,,
8246,White,1,41,3.8,MW,-1.13,0.874404762,0,,
8247,Mexican,1,26.5,3,SC,0.12,0.616964286,1,,
8249,White,1,38,2.8,MW,-0.91,0.741666667,0,,
8250,White,2,42,2.9,MW,0.26,0.801190476,1,,
8253,White,2,33.5,3.2,MW,-1.4,0.723511905,1,,
8254,White,2,33,3.7,MW,1.72,0.764880952,1,,
8255,White,2,33,3.8,MW,0.2,0.774404762,1,,
8256,White,1,34,2.3,MW,-1.65,0.644047619,1,,
8257,White,2,35,3.2,MW,-0.5,0.742261905,0,,
8258,White,1,30,3.4,MW,-1.07,0.698809524,1,,
8259,White,2,34,3.1,MW,0.71,0.720238095,1,,
8260,White,2,36,2.6,MW,0.22,0.697619048,1,,
8261,White,1,35,3.3,MW,-0.03,0.751785714,1,,
8262,White,2,34,3.5,MS,-0.05,0.758333333,1,,
8263,White,1,32,3.5,MW,-1.44,0.733333333,0,,
8264,White,2,33.5,3,MW,-0.15,0.704464286,1,,
8265,White,1,32.5,3.6,MW,0.06,0.749107143,1,,
8266,White,1,36,4,MW,0.55,0.830952381,1,,
8267,White,2,33,3.9,FW,-0.31,0.783928571,1,,
8268,White,2,42,2.8,MW,0.88,0.791666667,1,,
8269,White,2,37,3.4,MW,-1.42,0.786309524,1,,
8270,White,1,40,3.6,MW,1.08,0.842857143,1,,
8271,White,1,35,3.5,MW,0.96,0.770833333,1,,
8272,White,1,39,4,MW,2.01,0.868452381,1,,
8273,White,2,39,3.9,NG,1.42,0.858928571,1,,
8274,White,1,32,3.2,NE,0.28,0.704761905,1,,
8275,White,2,35,2.8,NG,1.07,0.704166667,1,,
8276,White,2,32,3,NE,0.17,0.685714286,1,,
8277,White,2,34.5,2.8,SE,-1.07,0.697916667,1,,
8278,White,1,31,3,NG,0.17,0.673214286,1,,
8279,White,2,32,3.2,NG,-0.67,0.704761905,0,,
8280,White,1,32,2.9,NG,1.18,0.676190476,1,,
8281,White,1,33,2.2,NE,-0.33,0.62202381,1,,
8282,White,1,31,3.2,NG,0.09,0.692261905,1,,
8283,White,1,36.5,3.1,NG,-1.23,0.751488095,0,,
8284,White,2,31,3.1,SE,-0.57,0.682738095,0,,
8285,White,1,33.5,2.1,SC,-0.36,0.61875,1,,
8287,White,1,36,2.6,NG,0.09,0.697619048,1,,
8288,White,2,36,2.9,NG,-1.47,0.726190476,1,,
8289,White,1,34,3.2,NG,-0.04,0.729761905,1,,
8290,White,1,36,3,NG,0.36,0.735714286,1,,
8291,White,2,25.3,3.1,NG,0.09,0.611488095,1,,
8292,Asian,2,27,3.4,NG,0.12,0.661309524,0,,
8293,White,2,41,2.4,NG,0.83,0.741071429,1,,
8294,White,1,27.5,3.1,NG,-0.52,0.638988095,1,,
8295,White,2,38,2.3,GL,-1.18,0.694047619,1,,
8296,White,2,29,3.5,NE,-0.3,0.695833333,1,,
8297,White,2,39,3.8,NG,-0.33,0.849404762,0,,
8298,White,2,33,3.4,NG,0.33,0.736309524,1,,
8299,White,1,37,2.4,NG,-1.1,0.691071429,1,,
8300,White,1,35,3.3,NE,-2.74,0.751785714,0,,
8301,White,1,26.5,2.9,NE,-1.65,0.607440476,1,,
8302,White,2,30,3.1,NE,-1.79,0.670238095,1,,
8303,White,1,34,3.5,NE,0.07,0.758333333,0,,
8304,White,2,36,3.3,NG,0.99,0.764285714,1,,
8305,White,1,24.3,3.1,NG,-0.36,0.598988095,0,,
8306,White,2,37,2.4,NG,-0.6,0.691071429,1,,
8307,White,2,41,3.2,SE,-1.36,0.817261905,1,,
8308,White,2,32,3,NG,0.54,0.685714286,1,,
8309,White,2,37,2.2,NG,-0.22,0.67202381,1,,
8310,White,1,34,3.2,NG,2.05,0.729761905,1,,
8311,White,1,36,2.7,NG,0.07,0.707142857,1,,
8312,White,1,29,2.8,NG,-0.78,0.629166667,1,,
8313,White,1,38,3,NG,0.81,0.760714286,1,,
8314,White,2,33,2.6,NG,-0.36,0.660119048,1,,
8315,White,2,30.5,2.7,MS,0.52,0.638392857,1,,
8316,White,2,34,2.7,NG,0.2,0.682142857,1,,
8317,White,2,34,2.9,NG,0.38,0.701190476,1,,
8318,White,2,35,2.5,NE,-0.2,0.675595238,1,,
8319,White,1,31,3.4,MS,0.91,0.711309524,1,,
8321,White,2,34,2.5,NE,-1.65,0.663095238,1,,
8322,White,2,37,3,SC,2.1,0.748214286,1,,
8323,White,1,36,3.2,SC,-0.78,0.754761905,1,,
8324,White,2,38,2.6,NG,-0.36,0.722619048,1,,
8325,White,1,40,2.9,NG,0.89,0.776190476,0,,
8326,White,1,32.5,3.7,NE,1.52,0.758630952,1,,
8327,White,2,35,2.6,NE,1.31,0.685119048,1,,
8328,White,2,32.5,2.4,GL,0.67,0.634821429,1,,
8329,White,2,35,3.3,NG,1.39,0.751785714,1,,
8330,White,1,28,3.5,Mt,-1.18,0.683333333,0,,
8331,White,2,36,3.9,NG,-0.01,0.821428571,1,,
8332,White,1,39,3.1,NG,0.44,0.782738095,1,,
8333,White,2,34,2.8,NG,0.52,0.691666667,1,,
8334,White,2,42,2.5,NG,0.97,0.763095238,1,,
8335,White,2,36,2.9,NE,-1.28,0.726190476,1,,
8336,White,1,36,2.9,NE,-0.67,0.726190476,1,,
8337,White,2,34,3.2,Mt,0.75,0.729761905,1,,
8339,White,2,19.5,3.4,FW,-0.38,0.567559524,1,,
8340,White,2,38,2.4,SE,2.16,0.703571429,1,,
8341,White,2,35,3.3,NE,0.78,0.751785714,1,,
8342,White,1,34,2.8,NG,-1.42,0.691666667,0,,
8343,White,2,25.5,2.7,NE,0.73,0.575892857,1,,
8344,White,2,39,2.6,GL,0.9,0.735119048,1,,
8345,White,1,37,3.6,MW,1.1,0.805357143,1,,
8346,White,1,33,3.5,GL,0.25,0.745833333,1,,
8347,White,1,30,3.1,GL,0.97,0.670238095,1,,
8348,Asian,1,36,3.3,GL,1.74,0.764285714,1,,
8349,White,1,36,3.2,GL,-0.14,0.754761905,1,,
8350,White,2,33,2.5,GL,-0.75,0.650595238,1,,
8351,White,2,39,2.6,GL,1.42,0.735119048,1,,
8352,White,2,41,2.6,GL,1.22,0.760119048,1,,
8353,White,2,35,3.3,GL,0.94,0.751785714,1,,
8354,White,2,28,3,MW,-0.43,0.635714286,1,,
8355,White,2,31,2.2,GL,-0.46,0.59702381,1,,
8356,White,2,25.5,3.7,GL,0.65,0.671130952,1,,
8357,White,1,35,3.6,GL,1.18,0.780357143,1,,
8358,White,1,37,3.3,GL,0.65,0.776785714,1,,
8359,White,2,42,3,GL,1.05,0.810714286,1,,
8360,White,1,40,2.4,GL,0.41,0.728571429,1,,
8361,White,2,40,2.8,GL,1.42,0.766666667,1,,
8362,White,2,33,3.3,GL,0.21,0.726785714,1,,
8364,White,1,41,3.6,GL,1.05,0.855357143,1,,
8365,White,1,32,3.5,GL,1.34,0.733333333,1,,
8366,White,1,36,3.2,GL,-1.4,0.754761905,1,,
8367,White,2,37,2.8,GL,-0.1,0.729166667,1,,
8368,White,1,40,3.4,MS,0.73,0.823809524,1,,
8370,White,1,38,3.7,GL,0.81,0.827380952,1,,
8371,Black,1,25.5,2.2,GL,-2.14,0.52827381,0,,
8372,White,2,36,2.5,GL,-0.27,0.688095238,1,,
8373,White,1,38.5,2.6,GL,-0.69,0.728869048,1,,
8374,White,1,30.3,3.5,GL,0.97,0.712083333,1,,
8375,White,2,31.5,3.1,NE,-1.72,0.688988095,1,,
8376,White,2,33,2.8,GL,-0.55,0.679166667,1,,
8377,White,1,37,3.2,MW,-0.59,0.767261905,1,,
8378,White,1,38,3.4,GL,0.09,0.798809524,1,,
8379,White,1,35,3.3,GL,0.86,0.751785714,1,,
8380,White,2,35,2.9,GL,-0.84,0.713690476,1,,
8381,White,2,32,3.7,GL,1.62,0.752380952,1,,
8382,White,2,39,3.1,GL,1.82,0.782738095,1,,
8383,White,1,40,3.5,GL,1.54,0.833333333,1,,
8384,White,1,35,2.8,GL,-0.23,0.704166667,1,,
8385,White,2,35,2.5,MW,-0.55,0.675595238,1,,
8386,White,2,39,2.7,GL,1.1,0.744642857,1,,
8387,White,2,38,3.7,GL,0.53,0.827380952,1,,
8388,White,2,42,4,GL,2.02,0.905952381,1,,
8389,White,2,40,2.3,GL,-0.92,0.719047619,1,,
8390,White,2,37,2.9,GL,-0.31,0.738690476,1,,
8391,White,2,36,3,GL,-0.68,0.735714286,1,,
8392,White,2,37,3,GL,0.94,0.748214286,1,,
8393,White,1,34,3.9,GL,0.57,0.796428571,1,,
8394,White,2,30,3,GL,0.65,0.660714286,1,,
8395,White,2,33,2.4,GL,0.01,0.641071429,1,,
8397,White,1,35.5,3.6,GL,0.81,0.786607143,1,,
8398,White,2,40,3.1,GL,1.38,0.795238095,1,,
8399,White,1,36,2.8,GL,-0.07,0.716666667,1,,
8400,Asian,1,30,3.5,GL,-1.6,0.708333333,1,,
8401,Black,1,28,2.8,GL,-2.31,0.616666667,1,,
8402,White,1,33,3.2,NG,0.01,0.717261905,1,,
8403,White,1,31,3.2,GL,-0.51,0.692261905,1,,
8406,White,1,30,3.1,GL,-0.43,0.670238095,0,,
8409,White,2,33,3.7,GL,0.13,0.764880952,1,,
8410,White,2,39,3.7,GL,-0.03,0.839880952,1,,
8411,White,1,35,2.9,GL,-1.36,0.713690476,1,,
8412,White,1,44,3.9,GL,1.74,0.921428571,1,,
8413,White,2,41,2.4,Mt,0.09,0.741071429,0,,
8414,White,1,35,3.2,GL,-0.96,0.742261905,1,,
8415,Asian,1,35,3,GL,-1.18,0.723214286,1,,
8417,White,2,35,3.2,GL,1.7,0.742261905,1,,
8418,Hispanic,2,27.5,2.4,SC,-0.79,0.572321429,0,,
8419,White,2,41,2.6,GL,-0.07,0.760119048,1,,
8420,White,2,35.5,3.4,GL,0.85,0.767559524,1,,
8421,White,1,34,3.5,GL,-1.41,0.758333333,1,,
8422,White,1,40,2.4,GL,-0.23,0.728571429,1,,
8423,White,1,36,2.7,GL,0.81,0.707142857,1,,
8424,White,2,31,2.7,GL,-1.99,0.644642857,1,,
8425,White,1,34,3.3,GL,-1.44,0.739285714,1,,
8426,White,1,30.5,3.4,GL,0.25,0.705059524,1,,
8427,White,1,38,3.8,GL,1.38,0.836904762,1,,
8428,White,1,31,3.4,GL,-0.03,0.711309524,1,,
8429,Hispanic,1,35,3,FW,0.45,0.723214286,0,,
8430,White,1,25.5,3.6,GL,-0.63,0.661607143,1,,
8431,White,2,33,2.8,MS,0.45,0.679166667,1,,
8432,White,2,33,3.4,GL,-0.07,0.736309524,1,,
8433,Black,1,32,3,GL,-0.59,0.685714286,1,,
8435,Mexican,1,30,2.8,GL,-1.48,0.641666667,0,,
8436,White,2,40,3.2,GL,0.57,0.804761905,1,,
8437,Black,2,22,2.5,GL,-1.64,0.513095238,0,,
8438,White,1,35.7,3,MS,-1.72,0.731964286,0,,
8439,White,2,36,3.2,GL,-0.39,0.754761905,1,,
8441,White,2,35,3.5,GL,1.26,0.770833333,1,,
8442,White,1,32,3,GL,0.09,0.685714286,1,,
8443,White,1,31,3.2,MS,-1.56,0.692261905,0,,
8444,White,1,37,3.4,GL,0.09,0.786309524,1,,
8445,White,2,35,2.4,SC,0.53,0.666071429,1,,
8446,White,2,32.5,3.2,GL,0.29,0.711011905,1,,
8447,White,2,32,3.3,GL,-1.16,0.714285714,1,,
8448,White,1,25,2.7,GL,-1.44,0.569642857,0,,
8449,White,1,29,2.5,GL,-0.75,0.600595238,0,,
8450,White,2,35,3,GL,-2,0.723214286,1,,
8451,White,1,32,3.5,GL,0.05,0.733333333,1,,
8452,White,2,37,3.3,GL,-0.15,0.776785714,1,,
8453,White,2,40,3.3,GL,-0.59,0.814285714,1,,
8454,White,2,39,3.3,GL,-0.64,0.801785714,1,,
8455,White,1,37,3.3,GL,0.33,0.776785714,1,,
8456,White,1,33,3.5,GL,0.17,0.745833333,1,,
8457,White,1,36,3.6,GL,0.85,0.792857143,1,,
8459,White,2,37,3,GL,0.77,0.748214286,1,,
8460,White,1,33,3.7,GL,-0.38,0.764880952,1,,
8461,White,2,30.5,3.6,GL,1.54,0.724107143,1,,
8462,White,2,38,2.8,GL,-0.35,0.741666667,1,,
8463,White,2,36,2.9,GL,-0.92,0.726190476,0,,
8464,White,2,39,2.7,GL,0.01,0.744642857,0,,
8466,White,1,21,2.7,NE,-0.24,0.519642857,1,,
8468,White,1,27,2.6,NE,1.06,0.585119048,0,,
8470,White,2,29.3,2.5,SE,0.28,0.604345238,1,,
8473,White,2,22,3.2,NE,0.46,0.579761905,1,,
8474,White,2,27,2.4,GL,0.6,0.566071429,1,,
8476,White,2,23,2.7,NE,0.35,0.544642857,1,,
8477,White,1,26,3.2,NE,-0.28,0.629761905,1,,
8478,White,2,29.5,2.5,GL,0.69,0.606845238,1,,
8479,White,2,28.5,3.1,GL,0.35,0.651488095,1,,
8480,White,1,37,3.5,GL,0.8,0.795833333,1,,
8481,White,1,36,3.5,GL,0.9,0.783333333,1,,
8482,White,2,25,2.9,GL,-0.49,0.588690476,1,,
8484,White,2,32,2.2,GL,0.25,0.60952381,1,,
8486,White,2,32,2.7,NE,0.16,0.657142857,0,,
8488,White,2,21.5,2.8,FW,0.4,0.535416667,1,,
